Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
regalo,m,obsequio,,"<span class=""pos noun m""> <span class=""usage"">present, gift</span></span>","<span class=""spa"">Ella recibió un regalo de su novio.</span><br>
<span class=""eng"">She got a present from her boyfriend.</span><br>
<span class=""spa"">Necesito dinero para comprarle un regalo a Tom.</span><br>
<span class=""eng"">I need money to buy Tom a present.</span><br>
<span class=""spa"">No me esperaba un regalo tan bueno de ti.</span><br>
<span class=""eng"">I didn't expect such a nice present from you.</span>",[sound:LIUT456Z4JKH4E3WJYABCYZD7XGVKOQN.mp3]
sal,f,,"<span class=""pos noun f""> <span class=""usage"">salt; table salt</span></span>","<span class=""pos noun f""> <span class=""usage"">salt; table salt</span></span>
<span class=""pos noun f""> <span class=""tag"">[chemistry]:</span><span class=""usage"">salt</span></span>","<span class=""spa"">Pasadme la sal y la pimienta, por favor.</span><br>
<span class=""eng"">Pass me the salt and pepper, please.</span><br>
<span class=""spa"">A veces le pongo un poco de sal.</span><br>
<span class=""eng"">I sometimes put a little salt in it.</span><br>
<span class=""spa"">Se echó sal en el café por error.</span><br>
<span class=""eng"">She put salt into her coffee by mistake.</span>",[sound:BQLYRK3L4LDNI22SV4GBNF3WN5UHOTZL.mp3]
barco,m,,,"<span class=""pos noun m""> <span class=""usage"">boat (usually with a concave hull)</span></span>","<span class=""spa"">¿Por qué estáis en este barco?</span><br>
<span class=""eng"">Why are you on this ship?</span><br>
<span class=""spa"">Hay muchas ratas en el barco.</span><br>
<span class=""eng"">There are many rats on the ship.</span><br>
<span class=""spa"">Todos se apresuraron hacia el otro lado del barco para ver qué estaba sucediendo.</span><br>
<span class=""eng"">Everyone rushed over to the other side of the ship to see what was happening.</span>",[sound:SRU6PKD7TNNXY2S6ZARVXWXMFYMEKOEO.mp3]
normal,adj,"regular, común","<span class=""pos adj""> <span class=""usage"">normal, standard, regular</span></span>
<span class=""pos adj""> <span class=""tag"">[geometry]:</span><span class=""usage"">perpendicular</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">normal, standard, regular</span></span>
<span class=""pos adj""> <span class=""tag"">[geometry]:</span><span class=""usage"">perpendicular</span></span>
<span class=""pos noun f"">{f} <span class=""tag"">[education]:</span><span class=""usage"">a school for becoming a teacher</span></span>","<span class=""spa"">A mí Tom me parece de lo más normal.</span><br>
<span class=""eng"">Tom looks pretty normal to me.</span><br>
<span class=""spa"">Llevamos una vida muy normal.</span><br>
<span class=""eng"">We lead a very ordinary life.</span><br>
<span class=""spa"">Me levanté más pronto de lo normal para coger el primer tren.</span><br>
<span class=""eng"">I got up earlier than usual to catch the first train.</span>",[sound:AFNSQGH52DAJJEMULOOAJXHES67X4RIT.mp3]
llegado,adj,entregado,,"<span class=""pos adj""> <span class=""usage"">arrived, received, delivered</span></span>","<span class=""spa"">Hemos llegado sanos y salvos.</span><br>
<span class=""eng"">We've arrived safe and sound.</span><br>
<span class=""spa"">Ojalá todos hayan llegado a salvo.</span><br>
<span class=""eng"">I hope everyone has arrived safely.</span><br>
<span class=""spa"">No tenía ganas de echarle la bronca por haber llegado tarde.</span><br>
<span class=""eng"">I didn't feel like scolding her for being late.</span>",[sound:L4F4IAFHEPQEXHFNKERLNVI4JMJDEBDQ.mp3]
maestro,m/f,profesor,"<span class=""pos noun m_f f"">{f} <span class=""usage"">queen bee</span></span>
<span class=""pos noun m_f m latin-america only-latin-america only-latin-america"">{m} <span class=""tag"">[especially, Latin America]:</span><span class=""usage"">teacher</span></span>","<span class=""pos noun m_f f"">{f} <span class=""usage"">queen bee</span></span>
<span class=""pos noun m_f m latin-america only-latin-america only-latin-america"">{m} <span class=""tag"">[especially, Latin America]:</span><span class=""usage"">teacher</span></span>
<span class=""pos noun m_f m""> <span class=""usage"">master; (master) craftsman, handyman, contractor, construction worker</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">expert, master</span></span>","<span class=""spa"">La pintura es la obra de un maestro holandés.</span><br>
<span class=""eng"">The painting is the work of a Dutch master.</span><br>
<span class=""spa"">Mis dos hermanas son maestras.</span><br>
<span class=""eng"">Both my sisters are teachers.</span><br>
<span class=""spa"">El maestro le leyó un párrafo de la Biblia a la clase.</span><br>
<span class=""eng"">The teacher read a passage from the Bible to the class.</span>",[sound:P44N3A6IJXQK2WYKGNTS2FUEPYQC4PPV.mp3]
montón,m,mogollón,"<span class=""pos noun m""> <span class=""usage"">heap, pile; ton, a lot, bunch, heap, loads</span></span>","<span class=""pos noun m""> <span class=""usage"">heap, pile (collection of things laid in a body, or thrown together so as to form an elevation); ton, a lot, bunch, heap, loads (a great deal; a great quantity)</span></span>","<span class=""spa"">Lo que Tom me contó me ayudó un montón.</span><br>
<span class=""eng"">What Tom told me helped me a lot.</span><br>
<span class=""spa"">Creo que un montón de gente estaría de acuerdo conmigo.</span><br>
<span class=""eng"">I think a lot of people would agree with me.</span><br>
<span class=""spa"">¿Adónde vas con tanta prisa? Tenemos un montón de tiempo, así que maneja con seguridad.</span><br>
<span class=""eng"">Where are you going in such a hurry? We've got plenty of time, so drive safely.</span>",[sound:P65NUGF2CTS73EYNCRUJ727UEPMXEE6K.mp3]
terminado,adj,,,"<span class=""pos adj""> <span class=""usage"">finished</span></span>","<span class=""spa"">¿Has terminado tu tarea alguna vez?</span><br>
<span class=""eng"">Have you finished your homework?</span><br>
<span class=""spa"">Casi había terminado mi trabajo cuando llegó.</span><br>
<span class=""eng"">I had almost finished my work when she came.</span><br>
<span class=""spa"">¿Acaso no me dijiste ayer que tú y tu novio habían terminado?</span><br>
<span class=""eng"">Didn't you tell me yesterday that you and your boyfriend had broken up?</span>",[sound:5V7V7ZCAWGJSSHDG7LWHT5XNSTEEGFHM.mp3]
ocupado,adj,,,"<span class=""pos adj""> <span class=""usage"">busy; occupied</span></span>","<span class=""spa"">Deje de molestarme. Estoy ocupado.</span><br>
<span class=""eng"">Stop bugging me. I'm busy.</span><br>
<span class=""spa"">Tom sabe que no estamos ocupadas.</span><br>
<span class=""eng"">Tom knows we aren't busy.</span><br>
<span class=""spa"">Ellos estaban tan ocupados que no se dieron cuenta de la hora que era.</span><br>
<span class=""eng"">They were so busy they didn't realize what time it was.</span>",[sound:YNOMZAQWO74KQJV3YJDKRICA67ZCSJHR.mp3]
dulce,adj,,"<span class=""pos adj""> <span class=""usage"">sweet</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">sweet (having a pleasant taste, especially induced by sugar); sweet (having a pleasant disposition)</span></span>
<span class=""pos adj""> <span class=""tag"">[of water]:</span><span class=""usage"">fresh (without salt)</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">candy, sweet; sweet food, dessert; thick jelly or fudge</span></span>","<span class=""spa"">Tengo ganas de comer algo dulce.</span><br>
<span class=""eng"">I feel like eating something sweet.</span><br>
<span class=""spa"">A mí también me gustan los dulces.</span><br>
<span class=""eng"">I also like candy.</span><br>
<span class=""spa"">Se dirigió a su auditorio con una voz dulce.</span><br>
<span class=""eng"">He addressed the audience in a soft voice.</span>",[sound:3EJFBEMWLZ4SQAKJEE6BQ4264N6WYNX7.mp3]
comprender,verb,"captar, entender",,"<span class=""pos verb v""> <span class=""usage"">to understand, comprehend; to comprise</span></span>","<span class=""spa"">Repentinamente comprendimos lo que estaba pasando.</span><br>
<span class=""eng"">We suddenly realized what was happening.</span><br>
<span class=""spa"">¿Comprendes el significado de esta frase?</span><br>
<span class=""eng"">Can you understand the meaning of this sentence?</span><br>
<span class=""spa"">Tom no pudo comprender que quería realmente Mary.</span><br>
<span class=""eng"">Tom couldn't figure out what Mary really wanted.</span>",[sound:FI7BJJQC7M4CK6QEYPOBQSADPCFFMIHH.mp3]
accidente,m,"incidente, percance, contratiempo, suceso","<span class=""pos noun m""> <span class=""usage"">accident</span></span>
<span class=""pos noun m""> <span class=""tag"">[music]:</span><span class=""usage"">accidental</span></span>","<span class=""pos noun m""> <span class=""usage"">accident (unexpected event with negative consequences)</span></span>
<span class=""pos noun m""> <span class=""tag"">[music]:</span><span class=""usage"">accidental</span></span>
<span class=""pos noun m""> <span class=""tag"">[geography]:</span><span class=""usage"">feature</span></span>","<span class=""spa"">Sé que será incómodo hablar acerca del accidente.</span><br>
<span class=""eng"">I know it's going to be unpleasant to talk about the accident.</span><br>
<span class=""spa"">El accidente fue provocado por una cierta estrella de cine conduciendo ebria.</span><br>
<span class=""eng"">The accident was due to the drunken driving of a certain film star.</span><br>
<span class=""spa"">Si ese accidente hubiera ocurrido en una ciudad, habría causado un desastre.</span><br>
<span class=""eng"">If that accident had happened in a city, it would have caused a disaster.</span>",[sound:Q32EYZX44XRS6UHLE3V3TZ7MUEW7AFHM.mp3]
costar,verb,,"<span class=""pos verb v""> <span class=""usage"">to cost; to find</span></span>","<span class=""pos verb v""> <span class=""usage"">to cost; to find (something) very difficult, have a hard time with something</span></span>","<span class=""spa"">Esto cuesta más que eso.</span><br>
<span class=""eng"">This costs more than that.</span><br>
<span class=""spa"">Este diamante cuesta una fortuna.</span><br>
<span class=""eng"">This diamond costs a fortune.</span><br>
<span class=""spa"">Él señaló que el plan costaría mucho dinero.</span><br>
<span class=""eng"">He pointed out that the plan would cost a lot of money.</span>",[sound:E4QAC3VBL2IUVXYWCDIENJI4CTGZRVPM.mp3]
capaz,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">able, capable</span></span>
<span class=""pos adv argentina only-argentina only-latin-america only-south-america"">{adv} <span class=""tag"">[Argentina]:</span><span class=""usage"">maybe, perhaps</span></span>","<span class=""spa"">No fueron capaces de descubrir ningún secreto.</span><br>
<span class=""eng"">They weren't able to discover any secrets.</span><br>
<span class=""spa"">Tom es perfectamente capaz de cuidar de sí mismo.</span><br>
<span class=""eng"">Tom is perfectly capable of taking care of himself.</span><br>
<span class=""spa"">No creemos que Tom será capaz de dominar el francés.</span><br>
<span class=""eng"">We don't believe that Tom will be able to master French.</span>",[sound:EIFLA25376LXUXLBGNEBAY2ZKJU64CAP.mp3]
calmar,verb,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to calm</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to calm down, settle down, quiet down</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to calm, still (to limit and lessen in motion and disturbance); to calm, soothe, assuage, ease, appease, quell, allay, settle, relieve (to make lessen in intensity); to talk down, talk off the ledge</span></span>
<span class=""pos verb vt""> <span class=""tag"">[figurative]:</span><span class=""usage"">to defuse (e.g. a situation or problem, tension or conflict, a crisis); to quench, quell (one's thirst); to cool</span></span>
<span class=""pos verb vi"">{vi} <span class=""usage"">to subside, abate; to steady [often used when talking to an animal one is riding like a horse]</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to calm down, settle down, quiet down, calm oneself; to cool off, cool it, chill, chill out; to subside</span></span>","<span class=""spa"">El dolor se calmó un poco.</span><br>
<span class=""eng"">The pain has lessened a little.</span><br>
<span class=""spa"">Tom y Mary están intentando calmar a John.</span><br>
<span class=""eng"">Tom and Mary are trying to calm John down.</span><br>
<span class=""spa"">Toma algunas galletas para calmar el hambre hasta la cena.</span><br>
<span class=""eng"">She had some cookies to stay her hunger until dinner.</span>",[sound:VHJ3XEKFXC7EVFTGQAIKSYVKDAZEN6U4.mp3]
carrera,f,,"<span class=""pos noun f""> <span class=""usage"">race; run (act of running)</span></span>","<span class=""pos noun f""> <span class=""usage"">race; run (act of running); career; run (line of knit stitches which have unravelled)</span></span>
<span class=""pos noun f""> <span class=""tag"">[baseball]:</span><span class=""usage"">run</span></span>
<span class=""pos noun f""> <span class=""tag"">[academics]:</span><span class=""usage"">course of study</span></span>","<span class=""spa"">Tom habló con un asesor de carrera.</span><br>
<span class=""eng"">Tom spoke to a career advisor.</span><br>
<span class=""spa"">Estoy entrenando un caballo de carreras.</span><br>
<span class=""eng"">I am training a horse for the race.</span><br>
<span class=""spa"">Tom sentía que no tenía chances de ganar la carrera.</span><br>
<span class=""eng"">Tom felt he had no chance to win the race.</span>",[sound:OT4OX4RGMYG2EO7IMGQKTRX6T74TAZ2C.mp3]
pelear,verb,"combatir, luchar, lidiar, discutir, batallar","<span class=""pos verb vi"">{vi} <span class=""usage"">to fight; to fight, argue</span></span>","<span class=""pos verb vi"">{vi} <span class=""usage"">to fight (to contend in physical conflict); to fight, argue; to fight for, struggle against</span></span>","<span class=""spa"">Ellos pelearon por la libertad.</span><br>
<span class=""eng"">They fought for freedom.</span><br>
<span class=""spa"">Estoy cansado de pelear contigo.</span><br>
<span class=""eng"">I'm tired of fighting with you.</span><br>
<span class=""spa"">¿Cómo consiguió Tom que Mary y John dejasen de pelear?</span><br>
<span class=""eng"">How did Tom get Mary and John to stop fighting?</span>",[sound:JXJCKKSZTEBNKBV3OWV77S2E3T5OHX5U.mp3]
adónde,adv,,,"<span class=""pos adv""> <span class=""tag"">[interrogative]:</span><span class=""usage"">to where, whither, whereto</span></span>","<span class=""spa"">¿Para adónde queda la playa?</span><br>
<span class=""eng"">Which way is the beach?</span><br>
<span class=""spa"">Tom no tenía ni idea de adónde iba Mary.</span><br>
<span class=""eng"">Tom had no idea where Mary went.</span><br>
<span class=""spa"">Tom le preguntó a María adónde iba de compras normalmente.</span><br>
<span class=""eng"">Tom asked Mary where she usually went shopping.</span>",[sound:IPIHSQVNBNLXN3R3CKQLRVPVY2QR6FKQ.mp3]
reunión,f,,"<span class=""pos noun f""> <span class=""usage"">meeting, session, appointment; powwow</span></span>","<span class=""pos noun f""> <span class=""usage"">meeting, session, appointment; powwow; collection, gathering, collecting (e.g. of data, evidence, statistics, funds); reunion, get-together; assembly, rally</span></span>","<span class=""spa"">Tom asistió a la reunión del lunes.</span><br>
<span class=""eng"">Tom attended Monday's meeting.</span><br>
<span class=""spa"">Tom preguntó acerca de la reunión.</span><br>
<span class=""eng"">Tom asked about the meeting.</span><br>
<span class=""spa"">Él ni siquiera se da cuenta de cuán importante es esta reunión.</span><br>
<span class=""eng"">Little does he realize how important this meeting is.</span>",[sound:W5SOD2KFOPWVXD6BX2HMRHR4MRZ3OVPY.mp3]
evitar,verb,esquivar,"<span class=""pos verb v"">{v} <span class=""usage"">to avoid, bypass, evade, circumvent</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to spare oneself</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to avoid, bypass, evade, circumvent, dodge, shun, eschew (to steer clear of); to avoid, prevent, keep from, stop from, avert, obviate, deter; to help (abstain from doing) [always in the negative]; to spare, save (to relieve someone having to experience something); to guard against, ward off</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to spare oneself</span></span>","<span class=""spa"">No puedo evitar burlarme de él.</span><br>
<span class=""eng"">I can't help making fun of him.</span><br>
<span class=""spa"">No puedo evitar pensar en el futuro.</span><br>
<span class=""eng"">I can't help thinking of the future.</span><br>
<span class=""spa"">Él tiende a evitar cualquier cosa que implique hablar en público.</span><br>
<span class=""eng"">He tends to shy away from anything that involves public speaking.</span>",[sound:CHLWETJ4TGGMB2PIN26FDRNRAYTMNGTV.mp3]
traje,m,,"<span class=""pos noun m""> <span class=""usage"">suit; dress</span></span>","<span class=""pos noun m""> <span class=""usage"">suit; dress (i.e. distinctive style for particular occasion); gown, dress (e.g. bridal gown, evening gown); costume, outfit, getup (e.g. superhero costume; a regional, national, folk costume)</span></span>","<span class=""spa"">Mi traje de baño está muy apretado.</span><br>
<span class=""eng"">My swimsuit is too tight.</span><br>
<span class=""spa"">Le confeccionaré un traje nuevo.</span><br>
<span class=""eng"">I'll make you a new suit.</span><br>
<span class=""spa"">Su traje era gris y su corbata, amarilla.</span><br>
<span class=""eng"">His suit was gray and his tie was yellow.</span>",[sound:NIWS65M2KWWEKPQ5G3MUMF5YCZJKNTQN.mp3]
preparado,adj,,"<span class=""pos adj""> <span class=""usage"">prepared; qualified, well-qualified</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">prepared; qualified, well-qualified</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">preparation</span></span>","<span class=""spa"">Ahora estoy preparado para irme.</span><br>
<span class=""eng"">I'm ready to leave now.</span><br>
<span class=""spa"">Quiero estar preparado para todo.</span><br>
<span class=""eng"">I want to be ready for anything.</span><br>
<span class=""spa"">¡Date prisa! Ya deberías estar preparado.</span><br>
<span class=""eng"">Hurry up! You should be ready by now.</span>",[sound:OE3RUPHSL3CH47MNYBE2VAAJG6WLQXGP.mp3]
recuperar,verb,,,"<span class=""pos verb v""> <span class=""usage"">to recover</span></span>","<span class=""spa"">Hay pocas esperanzas de que se recupere.</span><br>
<span class=""eng"">There is little hope of her recovery.</span><br>
<span class=""spa"">La economía mundial no se recuperará en poco tiempo.</span><br>
<span class=""eng"">The world economy will not recover anytime soon.</span><br>
<span class=""spa"">Espero sinceramente que te recuperes pronto de tu enfermedad.</span><br>
<span class=""eng"">I sincerely hope that you will soon recover from your illness.</span>",[sound:KMVL57E6GUSEE3GDBPLFZUBGJ7JD2WA2.mp3]
cargo,m,,"<span class=""pos noun m""> <span class=""usage"">charge, burden; position, post</span></span>","<span class=""pos noun m""> <span class=""usage"">charge, burden; position, post; higher-up</span></span>
<span class=""pos noun m""> <span class=""tag"">[finance]:</span><span class=""usage"">debit</span></span>","<span class=""spa"">Él se hizo cargo de los gastos.</span><br>
<span class=""eng"">He took charge of the expenses.</span><br>
<span class=""spa"">No te preocupes. Yo me haré cargo.</span><br>
<span class=""eng"">Don't worry. I'll take care of it.</span><br>
<span class=""spa"">Yo me haré cargo de ti cuando seas viejo.</span><br>
<span class=""eng"">I will take care of you when you are old.</span>",[sound:FKUKKSQOGRFA2KZNAJRH6RH4XWXVEDDN.mp3]
droga,f,,,"<span class=""pos noun f""> <span class=""usage"">drug</span></span>
<span class=""pos noun f mexico only-latin-america only-mexico""> <span class=""tag"">[Mexico]:</span><span class=""usage"">indebtedness, debt</span></span>","<span class=""spa"">Él hará lo que sea por procurarse algo de droga.</span><br>
<span class=""eng"">He'll do anything to score some drugs.</span><br>
<span class=""spa"">Dicen que esa droga no es segura.</span><br>
<span class=""eng"">They say that that drug is not safe.</span><br>
<span class=""spa"">La policía condujo una redada contra algunos traficantes de droga.</span><br>
<span class=""eng"">The police conducted an offensive against some drug dealers.</span>",[sound:KBHHXURU45YYJPYKTUGYF4RRYPREZQLK.mp3]
boda,f,,,"<span class=""pos noun f""> <span class=""tag"">[often, in the plural]:</span><span class=""usage"">wedding</span></span>","<span class=""spa"">Tom asistió a la boda.</span><br>
<span class=""eng"">Tom attended the wedding.</span><br>
<span class=""spa"">Quiero que vengas a mi boda.</span><br>
<span class=""eng"">I want you to come to my wedding.</span><br>
<span class=""spa"">¿A cuánta gente invitaste a tu boda?</span><br>
<span class=""eng"">How many people did you invite to your wedding?</span>",[sound:PJZYZDEXITNI4VXT6VQJ6Q7GR4OAOUKF.mp3]
necesario,adj,,,"<span class=""pos adj""> <span class=""usage"">necessary</span></span>","<span class=""spa"">Has comprado más estampillas de lo necesario.</span><br>
<span class=""eng"">You've bought more stamps than necessary.</span><br>
<span class=""spa"">No es necesario responder a esa carta.</span><br>
<span class=""eng"">It isn't necessary to answer that letter.</span><br>
<span class=""spa"">El doctor dijo que será necesario operar.</span><br>
<span class=""eng"">The doctor said it'll be necessary to operate.</span>",[sound:PCGEN7VSRWUHT7WWGRQ2WAMC5UWGBY3K.mp3]
tuyo,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">yours, your</span></span>
<span class=""pos pron"">{pron} <span class=""usage"">yours</span></span>","<span class=""spa"">El tuyo es un buen plan.</span><br>
<span class=""eng"">Your plan is a good one.</span><br>
<span class=""spa"">Ayer compré un bolígrafo igual al tuyo.</span><br>
<span class=""eng"">I bought a pen like yours yesterday.</span><br>
<span class=""spa"">Mi coche costó más que el tuyo.</span><br>
<span class=""eng"">My car cost more than yours did.</span>",[sound:NSUHTK4V6PBFAXKTD4LMSVSMG24JLAJW.mp3]
vista,f,visión,"<span class=""pos noun f""> <span class=""usage"">sight, vision; view</span></span>","<span class=""pos noun f""> <span class=""usage"">sight, vision; view</span></span>
<span class=""pos noun f""> <span class=""tag"">[law]:</span><span class=""usage"">trial</span></span>","<span class=""spa"">Él perdió de vista a su amigo entre la multitud.</span><br>
<span class=""eng"">He lost sight of his friend in the crowd.</span><br>
<span class=""spa"">Vista a lo lejos, la roca se parecía a un rostro humano.</span><br>
<span class=""eng"">Seen at a distance, the rock looked like a human face.</span><br>
<span class=""spa"">Vista de lejos, esta piedra se parece a una cara humana.</span><br>
<span class=""eng"">Seen from a distance, the stone looks like a human face.</span>",[sound:AS5EJPSGUGBXF64DUX3HETK2VG5FEQUK.mp3]
deseo,m,anhelo,,"<span class=""pos noun m""> <span class=""usage"">desire; wish</span></span>","<span class=""spa"">No confundas deseo con amor.</span><br>
<span class=""eng"">Don't confuse desire with love.</span><br>
<span class=""spa"">Mi deseo es darles gusto a ustedes.</span><br>
<span class=""eng"">My wish is to please you.</span><br>
<span class=""spa"">Tom no tiene ningún deseo de estudiar.</span><br>
<span class=""eng"">Tom has no wish to study.</span>",[sound:HDBHCV3RJ3KZN74EBVXAZ7VIQTUYBJBM.mp3]
atrapar,verb,,,"<span class=""pos verb v""> <span class=""usage"">to capture; to catch, get</span></span>","<span class=""spa"">Tom atrapó la pelota con su mano derecha.</span><br>
<span class=""eng"">Tom caught the ball with his right hand.</span><br>
<span class=""spa"">Se atrapan más moscas con miel que con vinagre.</span><br>
<span class=""eng"">You catch more flies with honey than you do with vinegar.</span><br>
<span class=""spa"">No es fácil atrapar a una liebre solo con las manos.</span><br>
<span class=""eng"">It is not easy to catch a hare with your bare hands.</span>",[sound:HHASQXRMANR4EX4E5TSDDFVP2LMK5MPC.mp3]
abierto,adj,,"<span class=""pos adj""> <span class=""usage"">open, unlocked (not closed; accessible)</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">open, unlocked (not closed; accessible); open (actively conducting business); open, open-minded (receptive); open, overt, outspoken, candid (not subtle in character); open-ended (i.e. unrestricted)</span></span>
<span class=""pos adj""> <span class=""tag"">[phonetics]:</span><span class=""usage"">open (uttered with a wide opening of articulators)</span></span>
<span class=""pos noun m"">{m} <span class=""tag"">[sports]:</span><span class=""usage"">open (event in which anyone can compete)</span></span>","<span class=""spa"">Los ojos de Tomás están abiertos.</span><br>
<span class=""eng"">Tom's eyes are open.</span><br>
<span class=""spa"">El museo está abierto de lunes a viernes.</span><br>
<span class=""eng"">The museum is open from Monday to Friday.</span><br>
<span class=""spa"">El teatro solía estar abierto todo el día.</span><br>
<span class=""eng"">The theater used to stay open all day long.</span>",[sound:UAFE2MWZ32ITDCD23TSTV3FOC7TGULZ7.mp3]
cena,f,,,"<span class=""pos noun f""> <span class=""usage"">supper, dinner</span></span>","<span class=""spa"">Mi madre está ocupada cocinando la cena.</span><br>
<span class=""eng"">My mother is busy cooking dinner.</span><br>
<span class=""spa"">Nos preparó una cena maravillosa.</span><br>
<span class=""eng"">She cooked us a wonderful meal.</span><br>
<span class=""spa"">Tom se baña todas las noches después de la cena.</span><br>
<span class=""eng"">Tom takes a bath every evening after dinner.</span>",[sound:KS6K77C4NGMIVQ7ACTS72Z7BMOQ4VG6T.mp3]
tras,prep,,"<span class=""pos prep""> <span class=""usage"">after, in the wake of; behind (on the far side of)</span></span>","<span class=""pos prep""> <span class=""usage"">after, in the wake of; behind (on the far side of); beyond; after [+ de, optional] (in pursuit of)</span></span>","<span class=""spa"">Vi a un gato corriendo tras el perro.</span><br>
<span class=""eng"">I saw a cat running after the dog.</span><br>
<span class=""spa"">El presidente fue saludado por la reina tras su llegada al palacio.</span><br>
<span class=""eng"">The president was greeted by the queen on arrival at the palace.</span><br>
<span class=""spa"">Si hubiese dedicado tiempo a cepillarme los dientes tras el desayuno, habría perdido el autobús.</span><br>
<span class=""eng"">If I'd taken time to brush my teeth after breakfast, I would've missed my bus.</span>",[sound:CUDCHL6PWI3OCNK4X4BAPTRCAOFLRQ4A.mp3]
bienvenido,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">welcome</span></span>
<span class=""pos interj"">{interj} <span class=""usage"">welcome (when saying this to a male)</span></span>","<span class=""spa"">Él era bienvenido a dondequiera que iba.</span><br>
<span class=""eng"">He was welcomed wherever he went.</span><br>
<span class=""spa"">Pensé que éramos bienvenidos aquí.</span><br>
<span class=""eng"">I thought we were welcome here.</span><br>
<span class=""spa"">Adondequiera que vayas, serás bienvenido.</span><br>
<span class=""eng"">Wherever you may go, you'll be welcomed.</span>",[sound:TPDACY3BHUQNZ77I5OL36DBUEJZT6MST.mp3]
casado,adj,,"<span class=""pos adj"">{adj} <span class=""usage"">married</span></span>
<span class=""pos noun m_f f"">{f} <span class=""usage"">a married woman</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">married</span></span>
<span class=""pos noun m_f f"">{f} <span class=""usage"">a married woman</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">a married man</span></span>
<span class=""pos noun m_f m costa-rica only-central-america only-costa-rica only-latin-america""> <span class=""tag"">[Costa Rica]:</span><span class=""usage"">A meal of rice, black beans, meat, salad, plantain banana and other ingredients</span></span>","<span class=""spa"">Yo no dudo que ella esté casada.</span><br>
<span class=""eng"">I don't doubt that she is married.</span><br>
<span class=""spa"">Somos una pareja de casados.</span><br>
<span class=""eng"">We're a married couple.</span><br>
<span class=""spa"">Tomás y yo estuvimos casados durante tres años.</span><br>
<span class=""eng"">Tom and I were married to each other for three years.</span>",[sound:F64JHSP3FAWKJZ3BGE7IR4QO6RN5A4NW.mp3]
brazo,m,rama,,"<span class=""pos noun m""> <span class=""tag"">[anatomy]:</span><span class=""usage"">arm</span></span>
<span class=""pos noun m""> <span class=""usage"">branch, limb (of a tree)</span></span>","<span class=""spa"">Él se quebró el brazo izquierdo.</span><br>
<span class=""eng"">He broke his left arm.</span><br>
<span class=""spa"">Tus brazos son más largos que los míos.</span><br>
<span class=""eng"">Your arms are longer than mine.</span><br>
<span class=""spa"">Él sostenía una caja grande en los brazos.</span><br>
<span class=""eng"">He was holding a large box in his arms.</span>",[sound:JX3IR3XAD3GURXDXZNXBMFEGVL4MNGLJ.mp3]
mesa,f,,,"<span class=""pos noun f""> <span class=""usage"">table; mesa</span></span>","<span class=""spa"">El gato está sobre la mesa.</span><br>
<span class=""eng"">The cat is on the table.</span><br>
<span class=""spa"">El gato está abajo de la mesa.</span><br>
<span class=""eng"">The cat is under the table.</span><br>
<span class=""spa"">Él alcanzó el azúcar que estaba sobre la mesa.</span><br>
<span class=""eng"">He reached out for the sugar that was on the table.</span>",[sound:V3F62GHP7SKIT5WXGIP2PPT564ZGN2SH.mp3]
soltar,verb,,"<span class=""pos verb v""> <span class=""usage"">to release; to let go</span></span>","<span class=""pos verb v""> <span class=""usage"">to release; to let go; to let loose (release from restraint); to give (a hit)</span></span>","<span class=""spa"">Suelta los tornillos y quita la cubierta de la lámpara.</span><br>
<span class=""eng"">Loosen the screws and remove the lamp cover.</span><br>
<span class=""spa"">El perro no quería soltar la pelota.</span><br>
<span class=""eng"">The dog wouldn't let go of the ball.</span><br>
<span class=""spa"">Unos vasos de vino pueden soltar la lengua.</span><br>
<span class=""eng"">A few glasses of wine can loosen the tongue.</span>",[sound:M6HSS5VFEGS2FQRJB6JGZEADDCIUKRA3.mp3]
